KEY,NOTES,ENGLISH,GERMAN
ORE.POLLUCITE.ADJECTIVE,,Pollucite,Pollucit
ORE.POLLUCITE.NOUN,,Pollucite,Pollucit
ORE.POLLUCITE.TOOLTIP,,"Pollucite is an ore of Caesium, which is currently too dangerous to produce. Particularly crazy dwarven metalsmiths are currently trying to find a reliable method of production.","Pollucit ist ein Cäsiumerz, dessen Förderung derzeit zu gefährlich ist. Besonders verrückte zwergische Metallschmiede versuchen trotzdem eine zuverlässige Herstellungsmethode zu finden."
ORE.PYRITE.ADJECTIVE,,Fool's gold,Katzengold
ORE.PYRITE.NOUN,,Fool's gold,Katzengold
ORE.PYRITE.TOOLTIP,,"Also known as Pyrite, its pale-yellow appearance causes some to mistake it for gold. It has several uses when crushed, but care must be taken as it sparks when struck.","Auch als Pyrit bekannt, wird es wegen seines blassgelben Aussehens von manchen mit Gold verwechselt. Es hat mehrere Verwendungen, wenn es zerkleinert wird, aber Vorsicht ist geboten, da es beim Schlagen Funken sprühen kann."
ORE.THORIUM.ADJECTIVE,,Thorium,Thorium
ORE.THORIUM.NOUN,,Thorium,Thorium
ORE.THORIUM.TOOLTIP,,A silvery metallic ore which turns black when exposed to air. It is strangely warm to the touch.,"Ein silbrig metallisches Erz, das sich an der Luft schwarz färbt. Es fühlt sich seltsam warm an."
ORE.WOLFRAMITE.ADJECTIVE,,Wolframite,Wolframit
ORE.WOLFRAMITE.NOUN,,Wolframite,Wolframit
ORE.WOLFRAMITE.TOOLTIP,,A metallic ore which complicates the smelting of tin. It has too high a melting point to be smelted with normal processes.,"Ein metallisches Erz, das das Schmelzen von Zinn erschwert. Es hat einen zu hohen Schmelzpunkt, um mit normalen Verfahren geschmolzen zu werden."

OTHER.BRICK.NOUN,,Brick,Ziegel
OTHER.CLAY_SOIL.NOUN,,Clay soil,Lehmboden
OTHER.GRASS.NOUN,,,Gras

PRIVACY.OPT_IN.ACCEPT_BUTTON,,I accept,Ich stimme zu
PRIVACY.OPT_IN.DO_NOT_ACCEPT_BUTTON,,Disable reporting,Berichte deaktivieren
PRIVACY.OPT_IN.LINE_1,,King under the Mountain is in active development. To help,King under the Mountain befindet sich in aktiver Entwicklung.
PRIVACY.OPT_IN.LINE_10,,- The stack trace of the exception which caused the crash,Hilf uns die Ursache des Absturzes feststellen zu können
PRIVACY.OPT_IN.LINE_2,,"diagnose and fix bugs, please click ""I accept"" below to","indem du unten auf "Ich stimme zu" klickst,"
PRIVACY.OPT_IN.LINE_3,,send anonymous crash reports automatically., um anonyme Absturzberichte zu senden.
PRIVACY.OPT_IN.LINE_4,," "," "
PRIVACY.OPT_IN.LINE_5,,This is made up of only the following data:,Diese bestehen aus folgenden Daten:
PRIVACY.OPT_IN.LINE_6,,- The version of the game client,Die Version des Spielclients
PRIVACY.OPT_IN.LINE_7,,- Your operating system,Dein Betriebssystem
PRIVACY.OPT_IN.LINE_8,,- Your graphics card and display settings,Deine Graphikkarte und Bildschirmeinstellungen
PRIVACY.OPT_IN.LINE_9,,- Your options settings,Deine Spieleinstellungen

PRODUCT.ANVIL,,Anvil,Amboss
PRODUCT.ANVIL.TOOLTIP,,A large block of metal used to hammer heated metal into shape. Required to construct a {{FURNITURE.FORGE}.,"Ein großer Metallblock auf dem erhitztes Metall in Form gehämmert wird. Erforderlich, um eine {{FURNITURE.FORGE} zu errichten."
PRODUCT.BARREL.HOOPS,,Barrel hoops,Fassreifen
PRODUCT.BARREL.HOOPS.TOOLTIP,,Metal hoops used to construct a {{PRODUCT.BARREL.NOUN}}. Also used in some machinery.,"Metallreifen, die beim {{PRODUCT.BARREL.NOUN}}bau benötigt werden. Wird auch in einigen Maschinen verwendet."
PRODUCT.BARREL.NOUN,,Barrel,Fass
PRODUCT.BARREL.PLURAL,,Barrels,Fässer
PRODUCT.BARREL.STAVES,,Barrel staves,Fassdauben
PRODUCT.BARREL.STAVES.TOOLTIP,,Curved wooden planks used to construct a {{PRODUCT.BARREL.NOUN}}.,Gebogene Holzbretter aus denen ein {{PRODUCT.BARREL.NOUN}} konstruiert wird.
PRODUCT.BARREL.TOOLTIP,,A cylindrical container for liquids. The curved shape makes it easier to roll around.,Ein zylindrischer Behälter für Flüssigkeiten. Die runde Form erleichtert das Herumrollen.
PRODUCT.BOWL,A bowl for eating from,Bowl,Schale
PRODUCT.BOWL.DESCRIPTION,E.g. “Bowl of vegetable soup”,Bowl of {{cooking.soup.description}},Schale mit {{cooking.soup.description}}
PRODUCT.BREAD.DOUGH.NOUN,,Dough,Teig
PRODUCT.BREAD.DOUGH.PLURAL,,Dough,Teige
PRODUCT.BREAD.DOUGH.TOOLTIP,,A mix of ingredients that can be baked into {{PRODUCT.BREAD.LOAF.PLURAL}} using an {{FURNITURE.BAKING_OVEN}}.,"Eine Mischung aus Zutaten, die mit einem {{FURNITURE.BAKING_OVEN}} zu {{PRODUCT.BREAD.LOAF.PLURAL}} gebacken werden kann"
PRODUCT.BREAD.LOAF.NOUN,Translations incorrect and need fixing,Bread loaf,Brotlaib
PRODUCT.BREAD.LOAF.PLURAL,Translations incorrect and need fixing,Bread loaves,Brotlaibe
PRODUCT.BREAD.LOAF.TOOLTIP,,"Prepared bread, ready to eat!","Zubereitetes Brot, fertig zum Essen!"
PRODUCT.BUCKET.NOUN,,Bucket,Eimer
PRODUCT.BUCKET.PLURAL,,Buckets,Eimer
PRODUCT.BUCKET.TOOLTIP,,A small container used to move liquids around by hand.,"Ein kleiner Behälter, in dem Flüssigkeiten von Hand getragen werden."
PRODUCT.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
PRODUCT.CAULDRON.TOOLTIP,,"Used by a {{PROFESSION.CHEF}} to prepare soup in a {{ROOMS.KITCHEN}}, where it is then moved to a {{ROOMS.FEASTING_HALL}}.","Wird von einem {{PROFESSION.CHEF}} benutzt, um Suppe in der {{ROOMS.KITCHEN}} vorzubereiten von wo sie dann in die {{ROOMS.FEASTING_HALL}} gebracht wird."
PRODUCT.MILLSTONE,,Millstone,Mühlstein
PRODUCT.MILLSTONE.TOOLTIP,,Two large stone discs that are ground together to mill harvested crops. Used to construct a {{FURNITURE.FLOUR_MILL}}.,"Zwei große Steinscheiben, die gegeneinander gerieben werden, um das Erntegut zu mahlen. Wird zum Errichten einer {{FURNITURE.FLOUR_MILL}} gebraucht."
PRODUCT.RATION.NOUN,,Ration,Ration
PRODUCT.RATION.PLURAL,,Rations,Rationen
PRODUCT.RATION.TOOLTIP,,"These will last a long time to feed your settlers, but you will need other sources of food as a priority.","Diese werden eine lange Zeit halten, um deine Siedler zu ernähren, doch du wirst dringend andere Nahrungsquellen benötigen."

PROFESSION.BAKER.VERB,,Baking,Backt
PROFESSION.BLACKSMITH.FEMALE_NOUN,,Blacksmith,Schmiedin
PROFESSION.BLACKSMITH.MALE_NOUN,,Blacksmith,Schmied
PROFESSION.BLACKSMITH.TOOLTIP,,Crafts items using metal and also produces metal from ore.,Fertigt Gegenstände aus Metall und stellt auch Metall aus Erz her.
PROFESSION.BLACKSMITH.VERB,,Forging,Schmiedet
PROFESSION.CARPENTER.FEMALE_NOUN,,Carpenter,Schreinerin
PROFESSION.CARPENTER.MALE_NOUN,,Carpenter,Schreiner
PROFESSION.CARPENTER.TOOLTIP,,Creates wooden furniture and items.,Erstellt Holzmöbel und -gegenstände.
PROFESSION.CARPENTER.VERB,,Crafting,Schreinert
PROFESSION.CHEF.FEMALE_NOUN,,Chef,Köchin
PROFESSION.CHEF.MALE_NOUN,,Chef,Koch
PROFESSION.CHEF.TOOLTIP,,Prepares all of the food to be consumed by your settlers.,
PROFESSION.CHEF.VERB,,Cooking,Kocht
PROFESSION.FARMER.FEMALE_NOUN,,Farmer,Bäuerin
PROFESSION.FARMER.MALE_NOUN,,Farmer,Bauer
PROFESSION.FARMER.TOOLTIP,,"Plants, tends and harvests crops.",
PROFESSION.FARMER.VERB,,Farming,Erntet
PROFESSION.FISHER.FEMALE_NOUN,This could be “fisherman” and “fisherwoman”,Fisher,Fischerin
PROFESSION.FISHER.MALE_NOUN,,Fisher,Fischer
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,
PROFESSION.FISHER.VERB,,Fishing,Fischt
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Jägerin
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Jäger
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,
PROFESSION.HUNTER.VERB,,Hunting,Jagt
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Bürgermeisterin
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Bürgermeister
PROFESSION.MAYOR.VERB,,Governing,Verwaltet
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Händlerin
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Händler
PROFESSION.MERCHANT.VERB,,Trading,Tauscht
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,
PROFESSION.MINER.FEMALE_NOUN,,Miner,Bergarbeiterin
PROFESSION.MINER.MALE_NOUN,,Miner,Bergarbeiter
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,
PROFESSION.MINER.VERB,,Mining,Schürft
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Adlige
PROFESSION.NOBLE.MALE_NOUN,,Noble,Adliger
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.",
PROFESSION.NOBLE.VERB,,Reigning,Regiert
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Runenschmiedin
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Runenschmied
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.",
PROFESSION.RUNESMITH.VERB,,Enchanting,Verzaubert
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Steinmetzin
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Steinmetz
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,
PROFESSION.STONEMASON.VERB,,Sculpting,Bearbeitet
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Kesselflickerin
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Kesselflicker
PROFESSION.TINKERER.VERB,,Tinkering,Flickt
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Dorfbewohnerin
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Dorfbewohner
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,
PROFESSION.VILLAGER.VERB,,Working,Arbeitet
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Holzfällerin
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Holzfäller
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,
PROFESSION.WOODCUTTER.VERB,,Chopping,Fällt

RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,zwergische
RACE.DWARF.FEMALE_NOUN,,Dwarf,Zwergin
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Zwerge
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,zwergischer
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Zwerg
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Zwerge
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,

RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),
RESOURCE.FLOUR.SACK.NOUN,,Flour,
RESOURCE.FLOUR.SACK.PLURAL,,Flour,
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,
RESOURCE.GEM.NOUN,,Gem,Edelstein
RESOURCE.GEM.PLURAL,,Gems,Edelsteine
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Rohedelstein
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Rohedelsteine
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,
RESOURCE.LOGS.NOUN,,Log,Stamm
RESOURCE.LOGS.PLURAL,,Logs,Stämme
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",
RESOURCE.METAL.BLOOM.NOUN,,Bloom,
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,
RESOURCE.METAL.INGOT.NOUN,,Ingot,Barren
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Barren
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",
RESOURCE.METAL.PLATE.NOUN,,Plate,
RESOURCE.METAL.PLATE.PLURAL,,Plates,
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,
RESOURCE.MUSHROOM.LUMBER.NOUN,,Log,Stamm
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Logs,Stämme
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.",
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Erzbrocken
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Erzbrocken
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,
RESOURCE.PLANKS.NOUN,,Plank,Brett
RESOURCE.PLANKS.PLURAL,,Planks,Bretter
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,
RESOURCE.STONE.BLOCK.NOUN,,Block,Block
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blöcke
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Steinbrocken
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Steinbrocken
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,

ROOMS.BEDROOM,,Bedroom,Schlafzimmer
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.",
ROOMS.BRIDGE,,Bridge,
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Schreinerei
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,
ROOMS.EARTHWORKS,,Earthworks,
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,
ROOMS.FARM,,Farm plot,Feld
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,
ROOMS.FEASTING_HALL,,Feasting hall,"Speisesaal "
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!",
ROOMS.GRAVEYARD,,Graveyard,
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,
ROOMS.KITCHEN,,Kitchen,Küche
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Maurerei
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,
ROOMS.METALWORKS,,Metalworks,
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,
ROOMS.MUSHROOM_FARM,,Mushroom farm,
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,
ROOMS.SAWMILL,,Sawmill,Sägewerk
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,
ROOMS.STOCKPILES,,Stockpiles,Lager
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,

SEASON.AUTUMN,,Autumn,Herbst
SEASON.SPRING,,Spring,Frühling
SEASON.SUMMER,,Summer,Sommer
SEASON.WINTER,,Winter,Winter

SEED.BARLEY_SEED,,Barley,Gersten
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
SEED.BERSERKER_SPAWN,,Berserker,
SEED.BERSERKER_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,
SEED.CARROT_SEED,,Carrot,Karotten
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
SEED.CORN_SEED,,Corn,Mais
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",
SEED.DEATH_CAP_SPAWN,,Death cap,
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",
SEED.ELFSBANE_SPAWN,,Elfsbane,
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",
SEED.FIST_SPAWN,,Fist,
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,
SEED.GLOW_SPAWN,,Glow,
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,
SEED.HOPS_SEED,,Hops,Hopfen
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,
SEED.MILTONIA_SPAWN,,Miltonia,
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.",
SEED.POTATO_SEED,,Potato,Kartoffel
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,
SEED.SUNGLOW_SPAWN,,Sunglow,
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",
SEED.TOMATO_SEED,,Tomato,Tomaten
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,
SEED.WHEAT_SEED,,Wheat,Weizen
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Büsche

STOCKPILE.GRANARY,,Granary,Getreidespeicher
STOCKPILE.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,
STOCKPILE.PANTRY,,Pantry,Vorratskammer
STOCKPILE.PANTRY.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,
STOCKPILE.RESOURCES,,Resources,Materiallager
STOCKPILE.RESOURCES.TOOLTIP,,Stores most kinds of resources which do not belong to other types of stockpiles.,
STOCKPILE.TOOLS,,Tools,Werkzeuglager
STOCKPILE.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,

STONE.BASALT.ADJECTIVE,,Basalt,Basalt
STONE.BASALT.NOUN,,Basalt,Basalt
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,Dolomit
STONE.DOLOSTONE.NOUN,,Dolostone,Dolomit
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.",
STONE.FRONITE.ADJECTIVE,,Frónite,
STONE.FRONITE.NOUN,,Frónite,
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,
STONE.GRANITE.ADJECTIVE,,Granite,Granit
STONE.GRANITE.NOUN,,Granite,Granit
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.",
STONE.LIMESTONE.ADJECTIVE,,Limestone,Kalkstein
STONE.LIMESTONE.NOUN,,Limestone,Kalkstein
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,
STONE.MARBLE.ADJECTIVE,,Marble,Marmor
STONE.MARBLE.NOUN,,Marble,Marmor
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,
STONE.SANDSTONE.ADJECTIVE,,Sandstone,Sandstein
STONE.SANDSTONE.NOUN,,Sandstone,Sandstein
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",
STONE.SHALE.ADJECTIVE,,Shale,Tonstein
STONE.SHALE.NOUN,,Shale,Tonstein
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,
STONE.SLATE.ADJECTIVE,,Slate,Schiefer
STONE.SLATE.NOUN,,Slate,Schiefer
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,

TOOL.AXE.NOUN,,Axe,Axt
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,
TOOL.CHISEL.NOUN,,Chisel,Meißel
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,
TOOL.FISHING.ROD.NOUN,,Fishing rod,Angelrute
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Küchenmesser
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.",
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Vorschlaghammer
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,
TOOL.PICKAXE.NOUN,,Pickaxe,Spitzhacke
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Hobel
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Nudelholz
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,
TOOL.SAW.NOUN,A carpenter's saw,Saw,Säge
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,
TOOL.SMALL.HAMMER.NOUN,,Hammer,Hammer
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,
