KEY,NOTES,ENGLISH,RUSSIAN
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",
SEED.DEATH_CAP_SPAWN,,Death cap,
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",
SEED.ELFSBANE_SPAWN,,Elfsbane,
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",
SEED.FIST_SPAWN,,Fist,
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,
SEED.GLOW_SPAWN,,Glow,
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,
SEED.HOPS_SEED,,Hops,Хмель
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,
SEED.MILTONIA_SPAWN,,Miltonia,
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.",
SEED.POTATO_SEED,,Potato,Картофель
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,
SEED.SUNGLOW_SPAWN,,Sunglow,
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",
SEED.TOMATO_SEED,,Tomato,Помидоры
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,
SEED.WHEAT_SEED,,Wheat,Пшеница
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Куст

STOCKPILE.GRANARY,,Granary,Амбар
STOCKPILE.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,
STOCKPILE.PANTRY,,Pantry,Кладовая
STOCKPILE.PANTRY.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,
STOCKPILE.RESOURCES,,Resources,Ресурсы
STOCKPILE.RESOURCES.TOOLTIP,,Stores most kinds of resources which do not belong to other types of stockpiles.,
STOCKPILE.TOOLS,,Tools,Инструменты
STOCKPILE.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,

STONE.BASALT.ADJECTIVE,,Basalt,(базальт)
STONE.BASALT.NOUN,,Basalt,Базальт
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,(доломитид)
STONE.DOLOSTONE.NOUN,,Dolostone,Доломитид
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.",
STONE.FRONITE.ADJECTIVE,,Frónite,
STONE.FRONITE.NOUN,,Frónite,
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,
STONE.GRANITE.ADJECTIVE,,Granite,(гранит)
STONE.GRANITE.NOUN,,Granite,Гранит
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.",
STONE.LIMESTONE.ADJECTIVE,,Limestone,(известняк)
STONE.LIMESTONE.NOUN,,Limestone,Известняк
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,
STONE.MARBLE.ADJECTIVE,,Marble,(мрамор)
STONE.MARBLE.NOUN,,Marble,Мрамор
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,
STONE.SANDSTONE.ADJECTIVE,,Sandstone,(песчаник)
STONE.SANDSTONE.NOUN,,Sandstone,Песчаник
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",
STONE.SHALE.ADJECTIVE,,Shale,(глинистый сланец)
STONE.SHALE.NOUN,,Shale,Глинистый сланец
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,
STONE.SLATE.ADJECTIVE,,Slate,(аспидный сланец)
STONE.SLATE.NOUN,,Slate,Аспидный сланец
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,

TOOL.AXE.NOUN,,Axe,Топор
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,
TOOL.CHISEL.NOUN,,Chisel,Резец
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,
TOOL.FISHING.ROD.NOUN,,Fishing rod,Удочка
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Кухонный нож
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.",
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Молот
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,
TOOL.PICKAXE.NOUN,,Pickaxe,Кирка
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Рубанок
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Скалка
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,
TOOL.SAW.NOUN,A carpenter's saw,Saw,Пила
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,
TOOL.SMALL.HAMMER.NOUN,,Hammer,Молоток
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Клещи
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}}

VEGETABLE.BARLEY,,Barley,Ячмень
VEGETABLE.BARLEY.PLURAL,,Barley,Ячмень
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,
VEGETABLE.CARROT,,Carrot,Морковина
VEGETABLE.CARROT.PLURAL,,Carrots,Морковины
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
VEGETABLE.CORN,,Sweetcorn,Сахарная кукуруза
VEGETABLE.CORN.PLURAL,,Sweetcorn,Сахарная кукуруза
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",
VEGETABLE.DRAGONFRUIT,,Dragonfruit,
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,
VEGETABLE.HOPS,,Hops,Хмель
VEGETABLE.HOPS.PLURAL,,Hops,Хмель
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,
VEGETABLE.LOQUAT,,Loquat,
VEGETABLE.LOQUAT.PLURAL,,Loquats,
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.",
VEGETABLE.POTATO,,Potato,Картофелина
VEGETABLE.POTATO.PLURAL,,Potatoes,Картофелины
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",
VEGETABLE.TAMARILLO,,Tamarillo,
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,
VEGETABLE.THIMBLEBERRY,,Thimbleberry,
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,
VEGETABLE.TOMATO,,Tomato,Помидор
VEGETABLE.TOMATO.PLURAL,,Tomatoes,Помидоры
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,
VEGETABLE.WHEAT,,Wheat,Пшеница
VEGETABLE.WHEAT.PLURAL,,Wheat,Пшеница
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,
VITRIOL.GREEN_VITRIOL.NOUN,,Green,
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)",

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{wallType.noun}} {{materialType.adjective}}
WALL.GEMS.NOUN,,Gems,Самоцветы
WALL.ORE.NOUN,,Ore,Руда
WALL.ROUGH_STONE.NOUN,,Rock wall,Каменная стена
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,Стена из гладкого камня
WALL.WOODEN.NOUN,,Wood wall,Деревянная стена

WOOD.ASPEN.ADJECTIVE,,Aspen,
WOOD.ASPEN.NOUN,,Aspen,
WOOD.BAOBAB.ADJECTIVE,,Baobab,
WOOD.BAOBAB.NOUN,,Baobab,
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,
WOOD.BEECH.ADJECTIVE,,Beech,(бук)
WOOD.BEECH.NOUN,,Beech,Бук
WOOD.BIRCH.ADJECTIVE,,Birch,(береза)
WOOD.BIRCH.NOUN,,Birch,Береза
WOOD.EBONY.ADJECTIVE,,Ebony,
WOOD.EBONY.NOUN,,Ebony,
WOOD.FIR.ADJECTIVE,,Fir,(мех)
WOOD.FIR.NOUN,,Fir,Мех
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,
WOOD.IRONWOOD.NOUN,,Ironwood,
WOOD.MAPLE.ADJECTIVE,,Maple,(клен)
WOOD.MAPLE.NOUN,,Maple,Клен
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,
WOOD.NUYTSIA.NOUN,,Nuytsia,
WOOD.OAK.ADJECTIVE,,Oaken,(дуб)
WOOD.OAK.NOUN,,Oak,Дуб
WOOD.PECAN.ADJECTIVE,,Pecan,
WOOD.PECAN.NOUN,,Pecan,
WOOD.PINE.ADJECTIVE,,Pine,(сосна)
WOOD.PINE.NOUN,,Pine,Сосна
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,
WOOD.RED_CEDAR.NOUN,,Red cedar,
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,
WOOD.RED_EMPEROR.NOUN,,Red emperor,
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,
WOOD.ROSEWOOD.NOUN,,Rosewood,
WOOD.SPRUCE.ADJECTIVE,,Spruce,
WOOD.SPRUCE.NOUN,,Spruce,
WOOD.STAR_PINE.ADJECTIVE,,Star pine,
WOOD.STAR_PINE.NOUN,,Star pine,
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,
WOOD.SYCAMORE.NOUN,,Sycamore,
